name,path,category,tags,Size
Add Circled,M13 11h5v2h-5v5h-2v-5H6v-2h5V6h2Zm10 1A11 11 0 1 1 12 1a11 11 0 0 1 11 11Zm-2 0a9 9 0 1 0-9 9 9 9 0 0 0 9-9Z,Actions,Plus,24px
Add Task,m17.29 7.29 1.42 1.42-8 8a1 1 0 0 1-1.42 0l-4-4 1.42-1.42 3.29 3.3ZM3 12a9 9 0 0 1 18 0h2a11 11 0 1 0-11 11v-2a9 9 0 0 1-9-9Zm17 3h-2v3h-3v2h3v3h2v-3h3v-2h-3Z,Actions,Check,24px
App Update,M22 1h-7v2h6v12H3V3h6V1H2c-.6 0-1 .4-1 1v14c0 .6.4 1 1 1h7c0 1.5-.5 2.9-1.4 4H5v2h14v-2h-2.6c-.9-1.1-1.4-2.5-1.4-4h7c.6 0 1-.4 1-1V2c0-.6-.4-1-1-1zm-8 20h-4c.7-1.2 1-2.6 1-4h2c0 1.4.4 2.8 1 4zM11 9.6V1h2v8.6l2.3-2.3 1.4 1.4-4 4c-.2.2-.4.3-.7.3s-.5-.1-.7-.3l-4-4 1.4-1.4L11 9.6z,Media,,24px
Archive,M22 2.74H2a1 1 0 0 0-1 1v5a1 1 0 0 0 1 1h20a1 1 0 0 0 1-1v-5a1 1 0 0 0-1-1Zm-1 5H3v-3h18Zm-5 4v2H8v-2Zm3-1h2v11a1 1 0 0 1-1 1H4a1 1 0 0 1-1-1v-11h2v10h14Z,Media,,24px
Arrow Down,M19.293 12.293 13 18.586V2h-2v16.586l-6.293-6.293-1.414 1.414 8 8c.195.195.451.293.707.293.256 0 .512-.098.707-.293l8-8-1.414-1.414Z,Navigation,Arrow,24px
Arrow Left,M22 11H5.41401L11.707 4.70703l-1.414-1.414L2.29301 11.293c-.391.391-.391 1.023 0 1.414l7.99999 8 1.414-1.414L5.41401 13H22v-2Z,Navigation,Arrow,24px
Arrow Out,M18 5H7.00003v2H15.586L4.29303 18.293l1.414 1.414L17 8.414V17h2V6c0-.553-.448-1-1-1Z,Navigation,Arrow,24px
Arrow Right,m21.707 11.293-8-7.99997-1.414 1.414L18.586 11H2v2h16.586l-6.293 6.293 1.414 1.414 8-8c.391-.391.391-1.023 0-1.414Z,Navigation,Arrow,24px
Arrow Up,m20.707 10.293-8-7.99999c-.391-.391-1.023-.391-1.414 0l-8 7.99999 1.414 1.414L11 5.41401V22h2V5.41401l6.293 6.29299 1.414-1.414Z,Navigation,Arrow,24px
Book Closed,M20 1H4a1 1 0 0 0-1 1v17a4 4 0 0 0 4 4h14v-2a2 2 0 0 1 0-4V2a1 1 0 0 0-1-1Zm-1 2v12H7a3.91 3.91 0 0 0-2 .56V3ZM7 21a2 2 0 0 1 0-4h10.56a3.85 3.85 0 0 0 0 4Zm9-13H8V6h8Zm-2 4H8v-2h6Z,Media,,24px
Book Open,M22.67 4.25A8.57 8.57 0 0 0 17 2a8.39 8.39 0 0 0-5 1.71A8.39 8.39 0 0 0 7 2a8.57 8.57 0 0 0-5.67 2.25A1 1 0 0 0 1 5v16a1 1 0 0 0 1.67.75A6.5 6.5 0 0 1 7 20a6.5 6.5 0 0 1 4.33 1.75.82.82 0 0 0 .25.16h.08A1 1 0 0 0 12 22h.1a1.3 1.3 0 0 0 .33-.07l.11-.08a.57.57 0 0 0 .13-.08A6.5 6.5 0 0 1 17 20a6.5 6.5 0 0 1 4.33 1.75A1 1 0 0 0 22 22a1 1 0 0 0 .41-.09A1 1 0 0 0 23 21V5a1 1 0 0 0-.33-.75ZM3 19.06V5.46a6.35 6.35 0 0 1 8 0v13.6A8.28 8.28 0 0 0 7 18a8.28 8.28 0 0 0-4 1.06Zm18 0a8.08 8.08 0 0 0-8 0V5.46a6.35 6.35 0 0 1 8 0Z,Media,,24px
Bookmark,M19 23a.94.94 0 0 1-.58-.19L12 18.23l-6.42 4.58A1 1 0 0 1 4 22V2a1 1 0 0 1 1-1h14a1 1 0 0 1 1 1v20a1 1 0 0 1-.54.89A1.07 1.07 0 0 1 19 23Zm-7-7a1 1 0 0 1 .58.19L18 20.06V3H6v17.06l5.42-3.87A1 1 0 0 1 12 16Z,Media,,24px
Bookmark Multiple,M20 1H8a1 1 0 0 0-1 1v1h12v16.53l.45.3A1 1 0 0 0 21 19V2a1 1 0 0 0-1-1Zm-3 22a1 1 0 0 1-.52-.15l-6-3.68-6 3.68a1 1 0 0 1-1 0A1 1 0 0 1 3 22V5a1 1 0 0 1 1-1h13a1 1 0 0 1 1 1v17a1 1 0 0 1-.51.87A1 1 0 0 1 17 23Zm-6.5-6a1 1 0 0 1 .52.15l5 3.06V6H5v14.21l5-3.06a1 1 0 0 1 .5-.15Z,Media,,24px
Brightness,M13 5h-2V1h2Zm-2 18h2v-4h-2Zm8-12v2h4v-2ZM5 11H1v2h4Zm15.49-6.07-1.42-1.42-2.83 2.83 1.42 1.42Zm-17 14.14 1.42 1.42 2.83-2.83-1.4-1.42Zm12.73-1.41 2.83 2.83 1.42-1.42-2.83-2.83ZM7.76 6.34 4.93 3.51 3.51 4.93l2.83 2.83ZM18 12a6 6 0 1 1-6-6 6 6 0 0 1 6 6Zm-2 0a4 4 0 1 0-4 4 4 4 0 0 0 4-4Z,System,,24px
Close Circled,M12 1a11 11 0 1 0 11 11A11 11 0 0 0 12 1Zm0 20a9 9 0 1 1 9-9 9 9 0 0 1-9 9Zm5-12.54L13.41 12 17 15.54 15.54 17 12 13.41 8.46 17l-1.41-1.46L10.59 12 7.05 8.46l1.41-1.41L12 10.59l3.54-3.54Z,Actions,Close,24px
Code,m10.47 21.24-1.94-.48 4.5-18 1.97.48Zm12.24-8.53a1 1 0 0 0 0-1.42l-5-5-1.42 1.42 4.3 4.29-4.3 4.29 1.42 1.42Zm-15 3.58L3.41 12l4.3-4.29-1.42-1.42-5 5a1 1 0 0 0 0 1.42l5 5Z,Media,,24px
Code Brackets,M19 23h-4v-2h3v-6a1 1 0 0 1 .29-.71l2.3-2.29-2.3-2.29A1 1 0 0 1 18 9V3h-3V1h4a1 1 0 0 1 1 1v6.59l2.71 2.7a1 1 0 0 1 0 1.42L20 15.41V22a1 1 0 0 1-1 1ZM9 21H6v-6a1 1 0 0 0-.29-.71L3.41 12l2.3-2.29A1 1 0 0 0 6 9V3h3V1H5a1 1 0 0 0-1 1v6.59l-2.71 2.7a1 1 0 0 0 0 1.42L4 15.41V22a1 1 0 0 0 1 1h4Z,Media,,24px
